name,CAS,MW,MW_ref,H,HLC,H_ref,VP,VP_ref,MP,MP_ref,rho,rho_ref,Da,Dw,D_ref,Kd,Kd_ref,Koc,Koc_ref,logKoc,logKoc_ref,S,S_ref,B,tau,tau*,Kp,Kp_ref
Acephate,30560-19-1,180,PHYSPROP,2E-011,5E-013,EPI,0.0000017,PHYSPROP,88,PHYSPROP,1.4,CRC89,0.037,0.000008,WATER 9,         ,,10,EPI,-0.85,PHYSPROP,820000,PHYSPROP,0.00021,1.1,2.7,0.00004,EPI
Acetaldehyde,75-07-0,44,PHYSPROP,0.0027,0.000067,PHYSPROP,900,PHYSPROP,-120,PHYSPROP,0.78,CRC89,0.13,0.000014,WATER 9,         ,,1,EPI,-0.34,PHYSPROP,1000000,PHYSPROP,0.0013,0.19,0.45,0.00053,EPI
Acetochlor,34256-82-1,270,PHYSPROP,0.00000091,0.000000022,PHYSPROP,0.000028,PHYSPROP,11,PubChem,1.1,PubChem,0.022,0.0000056,WATER 9,         ,,300,EPI,3,PHYSPROP,220,PHYSPROP,0.031,3.4,8.2,0.005,EPI
Acetone,67-64-1,58,PHYSPROP,0.0014,0.000035,PHYSPROP,230,PHYSPROP,-95,PHYSPROP,0.78,CRC89,0.11,0.000011,WATER 9,         ,,2.4,EPI,-0.24,PHYSPROP,1000000,PHYSPROP,0.0015,0.22,0.53,0.00051,EPI
Acetone Cyanohydrin,75-86-5,85,PHYSPROP,0.000000081,0.000000002,PHYSPROP,0.34,PHYSPROP,-19,PHYSPROP,0.93,CRC89,0.086,0.00001,WATER 9,         ,,1,EPI,-0.03,PHYSPROP,1000000,PHYSPROP,0.0018,0.32,0.76,0.0005,EPI
Acetonitrile,75-05-8,41,PHYSPROP,0.0014,0.000035,PHYSPROP,89,PHYSPROP,-44,PHYSPROP,0.79,CRC89,0.13,0.000014,WATER 9,         ,,4.7,EPI,-0.34,PHYSPROP,1000000,PHYSPROP,0.0014,0.18,0.43,0.00055,EPI
Acetophenone,98-86-2,120,PHYSPROP,0.00043,0.00001,PHYSPROP,0.4,PHYSPROP,20,PHYSPROP,1,CRC89,0.065,0.0000087,WATER 9,         ,,52,EPI,1.6,PHYSPROP,6100,PHYSPROP,0.016,0.5,1.2,0.0037,EPI
"Acetylaminofluorene, 2-",53-96-3,220,PHYSPROP,7.8E-009,1.9E-010,PHYSPROP,0.000000094,PHYSPROP,190,PHYSPROP,         ,,0.052,0.000006,WATER 9,         ,,2200,EPI,3.1,PHYSPROP,5.5,PHYSPROP,0.06,1.9,4.5,0.01,EPI
Acrolein,107-02-8,56,PHYSPROP,0.005,0.00012,PHYSPROP,270,PHYSPROP,-88,PHYSPROP,0.84,CRC89,0.11,0.000012,WATER 9,         ,,1,EPI,-0.01,PHYSPROP,210000,PHYSPROP,0.0022,0.22,0.52,0.00075,EPI
Acrylamide,79-06-1,71,PHYSPROP,0.00000007,1.7E-009,EPI,0.007,PHYSPROP,85,PHYSPROP,1.2,LANGE,0.11,0.000013,WATER 9,         ,,5.7,EPI,-0.67,PHYSPROP,390000,PHYSPROP,0.00073,0.26,0.63,0.00022,EPI
Acrylic Acid,79-10-7,72,PHYSPROP,0.000015,0.00000037,EPI,4,PHYSPROP,13,PHYSPROP,1.1,CRC89,0.1,0.000012,WATER 9,         ,,1.4,EPI,0.35,PHYSPROP,1000000,PHYSPROP,0.0034,0.27,0.64,0.0011,EPI
Acrylonitrile,107-13-1,53,PHYSPROP,0.0056,0.00014,PHYSPROP,110,PHYSPROP,-84,PHYSPROP,0.8,CRC89,0.11,0.000012,WATER 9,         ,,8.5,EPI,0.25,PHYSPROP,75000,PHYSPROP,0.0033,0.21,0.5,0.0012,EPI
Adiponitrile,111-69-3,110,PHYSPROP,0.000000049,1.2E-009,EPI,0.00068,PHYSPROP,1,PHYSPROP,0.97,CRC89,0.071,0.000009,WATER 9,         ,,20,EPI,-0.32,PHYSPROP,80000,PHYSPROP,0.00095,0.42,1,0.00024,EPI
Alachlor,15972-60-8,270,PHYSPROP,0.00000034,8.3E-009,PHYSPROP,0.000022,PHYSPROP,40,PHYSPROP,1.1,CRC89,0.023,0.0000057,WATER 9,         ,,310,EPI,3.5,PHYSPROP,240,PHYSPROP,0.066,3.4,8.2,0.011,EPI
Aldicarb,116-06-3,190,PHYSPROP,0.000000059,1.4E-009,EPI,0.000035,PHYSPROP,99,PHYSPROP,1.2,CRC89,0.032,0.0000072,WATER 9,         ,,25,EPI,1.1,PHYSPROP,6000,PHYSPROP,0.004,1.2,2.9,0.00076,EPI
Aldicarb Sulfone,1646-88-4,220,PHYSPROP,0.00000014,3.4E-009,EPI,0.00009,PHYSPROP,140,PHYSPROP,         ,,0.052,0.0000061,WATER 9,         ,,10,EPI,-0.57,PHYSPROP,10000,PHYSPROP,0.00021,1.8,4.4,0.000037,EPI
Aldicarb sulfoxide,1646-87-3,210,PHYSPROP,0.00000004,0.000000001,EPI,0.0001,PHYSPROP,78,EPI,         ,,0.054,0.0000064,WATER 9,         ,,10,EPI,-0.78,PHYSPROP,28000,PHYSPROP,0.00018,1.5,3.6,0.000033,EPI
Aldrin,309-00-2,360,PHYSPROP,0.0018,0.000044,PHYSPROP,0.00012,PHYSPROP,100,PHYSPROP,1.6,PubChem,0.023,0.0000058,WATER 9,         ,,82000,EPI,6.5,PHYSPROP,0.017,PHYSPROP,2.2,12,48,0.29,EPI
Allyl Alcohol,107-18-6,58,PHYSPROP,0.0002,0.000005,PHYSPROP,26,PHYSPROP,-130,PHYSPROP,0.85,CRC89,0.11,0.000012,WATER 9,         ,,1.9,EPI,0.17,PHYSPROP,1000000,PHYSPROP,0.0028,0.22,0.53,0.00096,EPI
