,CAS,nombre,name,MW,MW_ref,H,HLC,H_ref,VP,VP_ref,MP,MP_ref,rho,rho_ref,Da,Dw,D_ref,Kd,Kd_ref,Koc,Koc_ref,logKoc,logKoc_ref,S,S_ref,B,tau,tau.,Kp,Kp_ref
12,100-00-5,"Benceno, 1-cloro-4-nitro -","Chloronitrobenzene, p-",160,PHYSPROP,0.0002,0.0000049,PHYSPROP,0.022,EPI,84,PHYSPROP,1.3,CRC89,0.05,0.0000085,WATER 9,NA,,360,EPI,2.4,PHYSPROP,230,PHYSPROP,0.038,0.8,1.9,0.0079,EPI
13,100-01-6,"Bencenamina, 4-nitro -","Nitroaniline, 4-",140,PHYSPROP,0.000000052,1.3E-009,PHYSPROP,0.0000032,EPI,150,PHYSPROP,1.4,CRC89,0.064,0.0000098,WATER 9,NA,,110,EPI,1.4,PHYSPROP,730,PHYSPROP,0.01,0.62,1.5,0.0022,EPI
14,100-21-0,"Ácido 1,4-bencendicarboxílico","~Phthalic Acid, P-",170,PHYSPROP,1.6E-011,3.9E-013,PHYSPROP,0.0000092,EPI,400,LANGE,1.5,PERRY,0.049,0.000009,WATER 9,NA,,79,EPI,2,PHYSPROP,15,PHYSPROP,0.019,0.9,2.1,0.0039,EPI
15,100-25-4,"Benceno, 1,4-dinitro -","Dinitrobenzene, 1,4-",170,PHYSPROP,0.0000034,0.000000084,PHYSPROP,0.000026,PHYSPROP,170,PHYSPROP,1.6,CRC89,0.049,0.0000094,WATER 9,NA,,350,EPI,1.5,PHYSPROP,69,PHYSPROP,0.0083,0.92,2.2,0.0017,EPI
16,100-41-4,"Benceno, etil -",Ethylbenzene,110,PHYSPROP,0.32,0.0079,PHYSPROP,9.6,PHYSPROP,-95,PHYSPROP,0.86,CRC89,0.068,0.0000085,WATER 9,NA,,450,EPI,3.2,PHYSPROP,170,PHYSPROP,0.2,0.41,0.99,0.049,EPI
17,100-42-5,"Benceno, etenil -",Styrene,100,PHYSPROP,0.11,0.0028,PHYSPROP,6.4,PHYSPROP,-31,PHYSPROP,0.9,CRC89,0.071,0.0000088,WATER 9,NA,,450,EPI,3,PHYSPROP,310,PHYSPROP,0.15,0.4,0.97,0.037,EPI
18,100-44-7,"Benceno, (clorometil) -",Benzyl Chloride,130,PHYSPROP,0.017,0.00041,EPI,1.2,PHYSPROP,-45,PHYSPROP,1.1,CRC89,0.063,0.0000088,WATER 9,NA,,450,EPI,2.3,PHYSPROP,530,PHYSPROP,0.045,0.54,1.3,0.01,EPI
19,100-51-6,Bencenometanol,Benzyl Alcohol,110,PHYSPROP,0.000014,0.00000034,PHYSPROP,0.094,PHYSPROP,-15,PHYSPROP,1,CRC89,0.073,0.0000094,WATER 9,NA,,21,EPI,1.1,PHYSPROP,43000,PHYSPROP,0.0084,0.42,1,0.0021,EPI
20,100-52-7,Benzaldehído,Benzaldehyde,110,PHYSPROP,0.0011,0.000027,PHYSPROP,1.3,PHYSPROP,-26,PHYSPROP,1,CRC89,0.074,0.0000095,WATER 9,NA,,11,EPI,1.5,PHYSPROP,7000,PHYSPROP,0.015,0.41,0.99,0.0038,EPI
21,100-61-8,"Bencenamina, N-metil -",Monomethylaniline,110,PHYSPROP,0.00036,0.0000089,PHYSPROP,0.45,PHYSPROP,-57,PHYSPROP,0.99,CRC89,0.072,0.0000091,WATER 9,NA,,82,EPI,1.7,PHYSPROP,5600,PHYSPROP,0.02,0.42,1,0.005,EPI
