139-13-9;ACIDO NITRILO-TRIACETICO
107-02-8;ACROLEINA
116-06-3;ALDICARB
309-00-2;ALDRIN
7429-90-5;ALUMINIO (TOTAL)
7664-41-7;AMONIO (ug/1 NH4)
7440-38-2;ARSENICO (TOTAL)
1912-24-9;ATRAZINA
7440-39-3;BARIO (TOTAL)
22781-23-3;BENDIOCARB
7440-41-7;BERILIO (TOTAL)
319-84-6;BHC-ALFA
319-85-7;BHC-BETA
111-44-4;BIS (2-CLOROETIL) ETER
542-88-1;BIS (CLOROMETIL) ETER
108-60-1;BIS (2 CLOROISOPROPIL) ETER
117-81-7;BIS (ETILHELIX) FTALATO
7440-42-8;BORO (TOTAL)
1689-84-5;BROMOXIMIL
7440-43-9;CADMIO (TOTAL)
1563-66-2;CARBOFURANO
21725-46-2;CIANAZINA
7440-66-6;CINC (TOTAL)
108-90-7;CLOROBENCENO
2921-88-2;CLORPIRIFOS
7440-50-8;COBRE (TOTAL)
7440-47-3;CROMO (TOTAL)
18540-29-9;CROMO (+6)
333-41-5;DIAZINON
106-93-4;DIBROMOETILENO
1918-00-9;DICAMBA
51338-27-3;DICLOFOP-METIL
106-46-7;DICLOROBENCENO (1,4-)
107-06-2;DICLOROETANO (1,2-)
540-59-0;DICLOROETILENO (1,2-sis)
156-60-5;DICLOROETILENO (1,2-trans)
120-83-2;DICLOROFENOL (2,4-)
563-54-2;DICLOROPROPILENO (1,2-)
105-67-9;DIMETILFENOL (2,4-)
121-14-2;DINITROTOLUENO (2,4-)
330-54-1;DIURON
100-42-5;ESTIRENO
100-41-4;ETILBENCENO
108-95-2;FENOL
206-44-0;FLUORANTENO
16984-48-8;FLUORURO (TOTAL)
298-02-2;FORATO
1071-83-6;GLIFOSATO
1024-57-3;HEPTACLORO EPOXIDO
118-74-1;HEXACLOROBENCENO
7439-89-6;HIERRO (TOTAL)
121-75-5;MALATION
7439-96-5;MANGANESO (TOTAL)
7439-97-6;MERCURIO (TOTAL)
298-00-0;METIL PARATION
51218-45-2;METOLACLOR
21087-64-9;METRIBUZINA
7440-02-0;NIQUEL (TOTAL)
1910-42-5;PARAQUAT
1336-36-3;PCB (TOTAL)
12674-11-2;PCB - 1016 (AROCHLOR 1016)
11104-28-2;PCB - 1221 (AROCHLOR 1221)
11141-16-5;PCB - 1232 (AROCHLOR 1232)
53469-21-9;PCB - 1242 (AROCHLOR 1242)
12672-29-6;PCB - 1248 (AROCHLOR 1248)
11097-69-1;PCB - 1254 (AROCHLOR 1254)
11096-82-5;PCB - 1260 (AROCHLOR 1260)
608-93-5;PENTACLOROBENCENO
7440-22-4;PLATA (TOTAL)
7439-92-1;PLOMO (TOTAL)
7782-49-2;SELENIO (TOTAL )
122-34-9;SIMAZINE
7440-28-0;TALIO (TOTAL)
3383-96-8;TEMEFOS
13071-79-9;TERBUFOS
127-18-4;TETRACLOROETILENO
108-88-3;TOLUENO
8001-35-2;TOXAFENO
2303-17-5;TRIALATO
15950-66-0;TRICLOROFENOL (2,3,4-)
1330-20-7;XILENOS (TOTALES)0
208-96-8;ACENAFTILENO
107-13-1;ACRILONITRILO
7440-36-0;ANTIMONIO (TOTAL)
319-86-8;BHC-DELTA
541-73-1;DICLOROBENCENO (1,3-)
26638-19-7;DICLOROPROPANOS
26952-23-8;DICLOROPROPENOS
122-66-7;DIFENIL HIDRAZINA (1,2)
25321-14-6;DINITROTOLUENO
959-98-8;ENDOSULFAN-ALFA
33213-65-9;ENDOSULFAN-BETA
608-73-1;HEXACLOROCICLOHEXANO (ISOMEROS)
120-82-1;TRICLOROBENCENO (1,2,4-)
25321-22-6;DICLOROBENCENO
115-29-7;ENDOSULFAN
7782-41-4;FLUOR
7439-93-2;LITIO (TOTAL)
205-99-2;BENZO(b)FLUORANTENO
207-08-9;BENZO(K) FLUORANTANO
7440-31-5;ESTAÑO
193-39-5;INDENO(1,2,3-CD)PIRENO
129-00-0;PIRENO
108-05-4;ACETATO DE VINILO
110-82-7;CICLOHEXANO
7782-50-5;CLORO
7647-01-0;CLORURO DE HIDROGENO
1319-77-3;CRESOLES
584-84-9;DI-ISOCIANATO DE TOLUENO
7664-93-9;NIEBLA ACIDA (H2S04)
7783-06-4;SULFURO DE HIDROGENO
740-47-3;CROMO
