CAS,NOMBRE QUIMICO,FORMULA QUIMICA,OTROS NOMBRES
100-00-5,"Benceno, 1-cloro-4-nitro -",C6H4ClNO2,1-cloro-4-nitrobenceno; 1-nitro-4-clorobenceno; 4-cloro-1-nitrobenceno; 4-Cloronitrobenceno; 4-Nitro-1-clorobenceno; 4-nitroclorobenceno; cloruro de 4-nitrofenil; p-Cloronitrobenceno p-nitroclorobenceno; cloruro de p-nitrofenil; 4-Chloronitrobenzene; 4-Nitro-1-chlorobenzene; 4-Nitrochlorobenzene; 4-Nitrophenyl chloride; NSC 9792; PNCB; p-Chloronitrobenzene; p-Nitrochlorobenzene; p-Nitrophenyl chloride;1-Chloro-4-nitrobenzene; 1-Nitro-4-chlorobenzene; 4-Chloro-1-nitrobenzene;Nitroclorobenceno
100-01-6,"Bencenamina, 4-nitro -",C6H6N2O2,"Anilina, p-nitro-; 1-amino-4-nitrobenceno; 4-amino-1-nitrobenceno; 4-Aminonitrobenceno; 4-Nitro-1-aminobenceno; 4-nitroanilina; 4-Nitrobencenamina; 4-Nitrofenilamina; Azoamina Roja Zh; p-Aminonitrobenceno; p-Nitranilina;  p-nitroanilina;  p-Nitrofenilamina; 4-Aminonitrobenzene; 4-Nitro-1-aminobenzene; 4-Nitroaniline; 4-Nitrobenzenamine; 4-Nitrophenylamine; Azoamine Red Zh; C.I. 37035; C.I. Azoic Diazo Component 37; C.I. Developer 17; Developer P; Devol Red GG; Fast Red 2G Base; Fast Red Base 2J; Fast Red Base GG; Fast Red GG Base; Fast Red MP Base; Fast Red P Base; NSC 9797; Naphtoelan Red GG Base; Nitrazol CF extra; PNA;Red 2G Base;Shinnippon Fast Red GG Base;p-Aminonitrobenzene;p-Nitraniline;p-Nitroaniline;p-Nitrophenylamine;Aniline p-nitro- (8CI); 1-Amino-4-nitrobenzene; 4-Amino-1-nitrobenzene;1-amino-4-nitrobenceno"
100-02-7,"Fenol, 4-nitro -",C6H5NO3,"Fenol, p-nitro-; 1-hidroxi-4-nitrobenceno;  4-hidroxi-1-nitrobenceno;  4-Hidroxinitrobenceno;  4-nitrofenol; p-nitrofenol; 4-Hydroxynitrobenzene; 4-Nitrophenol; NSC 1317; Niphen; p-Hydroxynitrobenzene; p-Nitrophenol;Phenol p-nitro- (8CI); 1-Hydroxy-4-nitrobenzene; 4-Hydroxy-1-nitrobenzene;Nitrofenol, p"
100-06-1,"Etanona, 1 - (4-metoxifenil) -",C9H10O2,"Acetofenona, 4'-metoxi-; benzofenona, p-metoxi-; 1 - (4-metoxifenil) etanona; 1-acetil-4-metoxibenceno; 4-acetilanisol; 4-metil-metoxifenil; 4 ' -metoxiacetofenona; Acetoanisol; metil-4-metoxifenil cetona; metil-p-metoxifenil cetona;  p-acetilanisol;  p-anisilmetilcetona; p-Metoxi (acetil) benceno; p-metoxiacetofenona;  p-metil-metoxifenil; para-metoxiacetofenona;Acetophenone  4'-methoxy- (8CI);Benzophenone  p-methoxy- (3CI);1-(4-Methoxyphenyl)ethanone;1-Acetyl-4-methoxybenzene;4-Acetylanisole;4-Methoxyhypnone;4-Methoxyphenyl methyl ketone;4'-Methoxyacetophenone;Acetoanisole;Linarodin;Methyl 4-methoxyphenyl ketone;Methyl p-methoxyphenyl ketone;NSC 209523;NSC 5601;Novatone;Vananote;p-Acetylanisole;p-Anisyl methyl ketone;p-Methoxy(acetyl)benzene;p-Methoxyacetophenone;p-Methoxyphenyl methyl ketone;para-Methoxyacetophenone; 1-Acetyl-4-methoxybenzene; 4-Acetylanisole; 4-Methoxyhypnone; 4-Methoxyphenyl methyl ketone; 4''''-Methoxyacetophenone; Acetoanisole; Linarodin; Methyl 4-methoxyphenyl ketone; Methyl p-methoxy;p-Metoxiacetofenona. "
100-09-4,"Ácido benzóico, 4-metoxi-",C8 H8 O3,p-Anisic acid (6CI 7CI 8CI);4-Anisic acid;4-Methoxybenzoic acid;Anisic acid;Dermosoft 688;Draconic acid;NSC 32742;NSC 7926;p-Methoxybenzoic acid;Nulo
100-10-7,"Benzaldehído, 4 - (dimetilamino) -",C9H11NO,"Benzaldehído, p-(dimetilamino);  4 - (dimetilamino) benzaldehido;  4 - (dimetilamino) bencenocarbonal;  4 - (N, N-dimetilamino) benzaldehido;  4-formil-N, N-dimetilanilina;  reactivo de Erlich; N, N-dimetil-4-aminobenzaldehído;  N, N-dimetil-4-formilaniline;  N, N-dimetil-p-aminobenzaldehído; p-(dimetilamino) benzaldehido;  p-( N, N-dimetilamino) benzaldehido;  p-DAB; p-formil-N, N-dimetilanilina; p-Formildimetianilina; 4-(N N-Dimethylamino)benzaldehyde; 4-Formyl-N N-dimethylaniline; Erlich reagent; N N-Dimethyl-4-aminobenzaldehyde; N N-Dimethyl-4-formylaniline; N N-Dimethyl-p-aminobenzaldehyde; NSC 5517; Named reagents and solutions  Ehrlich's; p-(Dimethylamino)benzaldehyde; p-(N N-Dimethylamino)benzaldehyde; p-DAB; p-Formyl-N N-dimethylaniline; p-Formyldimethylaniline;Benzaldehyde p-(dimethylamino)- (8CI); 4-(Dimethylamino)benzaldehyde; 4-(Dimethylamino)benzenecarbonal;p-(DIMETIL AMINO) BENZALDEHÍDO"
100-16-3,"Hidracina, (4-nitrofenil) -",C6H7N3O2,"Hidracina, (p-nitrofenil) - ; (4-nitrofenil) hidracina;  (p-nitrofenil) hidracina; 1 - (4-nitrofenil) hidracina;  p-Hidrazinonitrobenceno; 1-(4-Nitrophenyl)hydrazine; NSC 4079; p-Hydrazinonitrobenzene;Hydrazine (p-nitrophenyl)- (6CI8CI); (4-Nitrophenyl)hydrazine; (p-Nitrophenyl)hydrazine;4-nitrofenilhidrazina con un máximo de 305 en masa de agua"
100-17-4,"Benceno, 1-metoxi-4-nitro -",C7H7NO3,"Anisol, p-nitro-; 1-Metoxi-4-nitrobenceno;  4-metoxi-1-nitrobenceno;  4-Metoxinitrobenceno; 4-Nitro-1-metoxibenceno; 4-nitroanisol; 4-Nitrometoxibenceno;  4-metil-nitrofenil éter;  metil-4-nitrofenil éter;  metil-p-nitrofenil éter; p-Metoxinitrobenceno; p-nitroanisol; p-Nitrobenceno metil éter; p-Nitrometoxibenceno; 4-Methoxynitrobenzene; 4-Nitro-1-methoxybenzene; 4-Nitroanisole; 4-Nitromethoxybenzene; 4-Nitrophenyl methyl ether; Methyl 4-nitrophenyl ether; Methyl p-nitrophenyl ether; NSC 5507; p-Methoxynitrobenzene; p-Nitroanisole; p-Nitrobenzene methyl ether; p-Nitromethoxybenzene;Anisole p-nitro- (8CI); 1-Methoxy-4-nitrobenzene; 4-Methoxy-1-nitrobenzene;1-metoxi-4-nitrobenceno"
100-20-9,"1,4-Dicloruro de bencenodicarbonilo",C8H4Cl2O2,"Cloruro de tereftaloilo;  1,4-cloruro de Bencenodicarbonil; benceno 1,4-bis (clorocarbonil) benceno;  1,4-Di (clorocarbonil); benceno 1,4-Dicloruro  dicarboxílico; cloruro de ácido tereftálico; dicloruro tereftálico; dicloruro de tereftaloilo;  p-dicloruro de fenilenedicarbonil; p-dicloruro de ftaloil; 1 4-Di(chlorocarbonyl)benzene; Benzene 1 4-dicarboxylic acid dichloride; NSC 41885; Terephthalic acid chloride; Terephthalic acid dichloride; Terephthalic dichloride; Terephthaloyl dichloride; p-Phenylenedicarbonyl dichloride; p-Phthaloyl chloride; p-Phthaloyl dichloride;Terephthaloyl chloride (8CI); 14-Benzenedicarbonyl chloride; 14-Bis(chlorocarbonyl)benzene;Cloruro de tereftaloilo"
100-21-0,"Ácido 1,4-bencendicarboxílico",C8H6O4,"Ácido tereftálico ; 1,4-Dicarboxibenceno; ácido 4-carboxibenzoico; ácido p-bencenodicarboxílico;  ácido p-carboxibenzoico; p-Dicarboxibenceno; p-ácido ftálico;Terephthalic acid (7CI 8CI);1 4-Dicarboxybenzene;4-Carboxybenzoic acid;Amoco TA 33;NSC 36973;QTA;S-LOP;TA 33LP;TPA;WR 16262;p-Benzenedicarboxylic acid;p-Carboxybenzoic acid;p-Dicarboxybenzene;p-Phthalic acid; Amoco TA 33; NSC 36973; QTA; S-LOP; TA 33LP; TPA; WR 16262; p-Benzenedicarboxylic acid; p-Carboxybenzoic acid; p-Dicarboxybenzene; p-Phthalic acid;Terephthalic acid (7CI8CI); 14-Dicarboxybenzene; 4-Carboxybenzoic acid;Acido tereftálico"
