Cas# /Accession#,Chemical Name
232689,Polymeric MDI based polyurethane 
232689,Polymeric MDI based polyurethane 
242901,Rare earth phosphate 
242901,Rare earth phosphate 
275913,"Formaldehyde, polymer with dialkylphenylamine, dialkylphenol and trimethylhexanediamine "
275913,"Formaldehyde, polymer with dialkylphenylamine, dialkylphenol and trimethylhexanediamine "
234210,Substituted aryl acetonitrile 
234210,Substituted aryl acetonitrile 
P-05-0057,Ether amine phosphonate salt 
273495,Ether amine phosphonate salt 
273495,Ether amine phosphonate salt 
P-05-0059,Ether amine phosphonate salt 
P-05-0060,Ether amine phosphonate 
P-05-0061,Ether amine phosphonate salt 
262965,Ether amine phosphonate salt 
262965,Ether amine phosphonate salt 
P-05-0063,Ether amine phosphonate salt 
P-05-0064,Ether amine phosphonate salt 
P-05-0065,Ether amine phosphonate salt 
239975,"2-Propenoic, 2-methyl-, 2-hydroxyethyl ester, reaction products with hexakis  melamine (generic)"
239975,"2-Propenoic, 2-methyl-, 2-hydroxyethyl ester, reaction products with hexakis  melamine (generic)"
269875,"Formaldehyde, polymer with aliphatic diamine and phenol, reaction products with 4-methyl-2-pentanone "
269875,"Formaldehyde, polymer with aliphatic diamine and phenol, reaction products with 4-methyl-2-pentanone "
241919,"Fatty acids, tall-oil, reaction products with  oxirane formaldehyde-phenol polymer glycidyl ether, morpholinepropanamine, propylene glycol diamine and aliphatic polyamine, N-(1,3-dimethylbutylidene) derivs. (generic)"
241919,"Fatty acids, tall-oil, reaction products with  oxirane formaldehyde-phenol polymer glycidyl ether, morpholinepropanamine, propylene glycol diamine and aliphatic polyamine, N-(1,3-dimethylbutylidene) derivs. (generic)"
269160,"Fatty acids, tall-oil, reaction products with 4-methyl-2-pentanone and aliphatic polyamine "
269160,"Fatty acids, tall-oil, reaction products with 4-methyl-2-pentanone and aliphatic polyamine "
P-05-0301,Trisphenol 
