;Nombre;CAS;CID
1;ACENAFTILENO ;208-96-8;9161
2;ACETATODE VINILO ;108-05-4;7904
3;ACIDONITRILO-TRIACETICO ;139-13-9;8758
4;ACRILONITRILO ;107-13-1;7855
5;ACROLEINA ;107-02-8;7847
6;ALDICARB ;116-06-3;9570071
7;ALDRIN ;309-00-2;12310947
8;ALUMINIO ;7429-90-5;5359268
9;AMONIACO ;7664-41-7;222
10;AMONIO(TOTAL) ;7664-41-7;222
11;ANTIMONIO(TOTAL) ;7440-36-0;5354495
12;ARSENICO ;7440-38-2;5359596
13;ATRAZINA ;1912-24-9;2256
14;BARIO(TOTAL) ;7440-39-3;5355457
15;BENDIOCARB ;22781-23-3;2314
16;BENZO(b)FLUORANTENO ;205-99-2;9153
17;BENZO(K)FLUORANTANO ;207-08-9;9158
18;BERILIO ;7440-41-7;5460467
19;BHC-ALFA ;319-84-6;727
20;BHC-BETA ;319-85-7;727
21;BHC-DELTA ;319-86-8;727
22;BIS(2-CLOROETIL) ETER ;111-44-4;8115
23;BORO ;7440-42-8;5462311
24;BROMOXIMIL ;1689-84-5;15531
25;CADMIO ;7440-43-9;23973
26;CARBOFURANO ;1563-66-2;2566
27;CIANAZINA ;21725-46-2;30773
28;CICLOHEXANO ;110-82-7;8078
29;CINC ;7440-66-6;23994
30;CLORO ;7782-50-5;24526
31;CLOROBENCENO ;108-90-7;7964
32;CLORPIRIFOS ;2991-88-2;5360545
33;CLORURODE HIDROGENO ;7647-01-0;313
34;COBRE(TOTAL) ;7440-50-8;23978
35;CRESOLES ;1319-77-3;2879
36;CROMO(+6) ;18540-29-9;29131
37;DIAZINON ;333-41-5;3017
38;DIBROMOETILENO ;106-93-4;7839
39;DICAMBA ;1918-00-9;3030
40;DICLOFOP-METIL ;51338-27-3;39985
41;DICLOROBENCENO(1,3-) ;541-73-1;10943
42;DICLOROETANO(1,2-) ;107-06-2;11
43;DICLOROETILENO(1,2-sis) ;540-59-0;10900
44;DICLOROFENOL(2,4-) ;120-83-2;8449
45;DICLOROPROPANOS ;26638-19-7;6573
46;DICLOROPROPENOS ;26952-23-8;11245
47;DICLOROPROPILENO(1,2-);563-54-2;11243
48;DIFENILHIDRAZINA (1,2);122-66-7;31222
49;DI-ISOCIANATODE TOLUENO ;584-84-9;11443
50;DIMETILFENOL(2,4-);105-67-9;7771
51;DINITROTOLUENO(2,4-);121-14-2;8461
52;DIURON ;330-54-1;3120
53;ENDOSULFAN ;108-60-1;7944
54;ENDOSULFAN-ALFA ;959-98-8;12309460
55;ENDOSULFAN-BETA ;33213-65-9;12309460
56;ENODSULFAN ;115-29-7;3224
57;ESTAÑO ;7440-31-5;5352426
58;ESTIRENO ;100-42-5;7501
59;ETILBENCENO ;100-41-4;7500
60;FENOL ;108-95-2;996
61;FENOLES ;108-95-2;996
62;FLUOR ;7782-41-4;24524
63;FLUORANTENO ;206-44-0;9154
64;FLUORUO(TOTAL) ;16984-48-8;28179
65;FLUORUROS ;16984-48-8;28179
66;FLUORURO(TOTAL) ;16984-48-8;28179
67;FORATO ;298-02-2;4790
68;GLIFOSATO ;1071-83-6;3496
69;HEPTACLOROEPOXIDO ;1024-57-3;15559699
70;HEXACLOROBENCENO ;118-74-1;8370
71;HEXACLOROCICLOHEXANO(ISOMEROS) ;608-73-1;727
72;HIERRO(TOTAL) ;7439-89-6;23925
73;INDENO(1,2,3-CD) PIRENO;193-39-5;9131
74;LITIO(TOTAL) ;7439-93-2;3028194
75;MALATION ;121-75-5;4004
76;MANGANESO ;7439-96-5;23930
77;MERCURIO ;7439-97-6;23931
78;METILPARATION ;298-00-0;4130
79;METOLACLOR ;51218-45-2;4169
80;METRIBUZINA ;21087-64-9;30479
81;NIEBLAACIDA (H2S04) ;7664-93-9;1118
82;NIQUEL ;7440-02-0;935
83;NITRATO ;1918-00-9;3030
84;NITRITO ;51338-27-3;39985
85;ORGANOCLORADOS(NO PLAG.) ;107-06-2;11
86;PARAQUAT ;1910-42-5;15938
87;PCB- 1016 (AROCHLOR 1016) ;12674-11-2;38037
88;PCD(TOTAL) ;1336-36-3;36231
89;PENTACLOROBENCENO ;608-93-5;11855
90;PIRENO ;129-00-0;31423
91;PLATA(TOTAL) ;7440-22-4;23954
92;PLOMO ;7439-92-1;5352425
93;SELENIO ;7782-49-2;6326970
94;SIMAZINE ;122-34-9;5216
95;SULFURODE HIDROGENO ;7783-06-4;402
96;TALIO(TOTAL) ;7440-28-0;5359464
97;TEMEFOS ;3383-96-8;5392
98;TERBUFOS ;13071-79-9;25670
99;TETRACLOROETILENO ;127-18-4;31373
100;TOLUENO ;108-88-3;1140
101;TOXAFENO ;8001-35-2;5284469
102;TRIALATO ;2303-17-5;5543
103;"TRICLOROBENCENO(1,2,4-) ";120-82-1;13
104;"TRICLOROFENOL(2,3,4-) ";15950-66-0;27582
105;URANIOTOTAL ;51218-45-2;4169
106;XILENOS ;1330-20-7;7929
