22781-23-3;BENDIOCARB
7440-41-7;BERILIO (TOTAL)
319-84-6;BHC-ALFA
319-85-7;BHC-BETA
111-44-4;BIS (2-CLOROETIL) ETER
108-60-1;BIS (2 CLOROISOPROPIL) ETER
117-81-7;BIS (ETILHELIX) FTALATO
7440-42-8;BORO (TOTAL)
1689-84-5;BROMOXIMIL
7440-43-9;CADMIO (TOTAL)
21725-46-2;CIANAZINA
51338-27-3;DICLOFOP-METIL
106-46-7;DICLOROBENCENO (1,4-)
120-83-2;DICLOROFENOL (2,4-)
121-14-2;DINITROTOLUENO (2,4-)
298-02-2;FORATO
1071-83-6;GLIFOSATO
7439-89-6;HIERRO (TOTAL)
121-75-5;MALATION
7439-96-5;MANGANESO (TOTAL)
1336-36-3;PCB (TOTAL)
12674-11-2;PCB - 1016 (AROCHLOR 1016)
11104-28-2;PCB - 1221 (AROCHLOR 1221)
11141-16-5;PCB - 1232 (AROCHLOR 1232)
12672-29-6;PCB - 1248 (AROCHLOR 1248)
7440-28-0;TALIO (TOTAL)
3383-96-8;TEMEFOS
13071-79-9;TERBUFOS
127-18-4;TETRACLOROETILENO
108-88-3;TOLUENO
541-73-1;DICLOROBENCENO (1,3-)
26952-23-8;DICLOROPROPENOS
122-66-7;DIFENIL HIDRAZINA (1,2)
25321-22-6;DICLOROBENCENO
