116-06-3;ALDICARB
309-00-2;ALDRIN
7429-90-5;ALUMINIO (TOTAL)
7664-41-7;AMONIO (ug/1 NH4)
7440-38-2;ARSENICO (TOTAL)
1912-24-9;ATRAZINA
7440-39-3;BARIO (TOTAL)
542-88-1;BIS (CLOROMETIL) ETER
1563-66-2;CARBOFURANO
7440-66-6;CINC (TOTAL)
108-90-7;CLOROBENCENO
333-41-5;DIAZINON
106-93-4;DIBROMOETILENO
1918-00-9;DICAMBA
107-06-2;DICLOROETANO (1,2-)
540-59-0;DICLOROETILENO (1,2-sis)
156-60-5;DICLOROETILENO (1,2-trans)
563-54-2;DICLOROPROPILENO (1,2-)
105-67-9;DIMETILFENOL (2,4-)
330-54-1;DIURON
100-42-5;ESTIRENO
100-41-4;ETILBENCENO
108-95-2;FENOL
206-44-0;FLUORANTENO
16984-48-8;FLUORURO (TOTAL)
1024-57-3;HEPTACLORO EPOXIDO
118-74-1;HEXACLOROBENCENO
298-00-0;METIL PARATION
7440-02-0;NIQUEL (TOTAL)
1910-42-5;PARAQUAT
53469-21-9;PCB - 1242 (AROCHLOR 1242)
11097-69-1;PCB - 1254 (AROCHLOR 1254)
7440-22-4;PLATA (TOTAL)
7439-92-1;PLOMO (TOTAL)
122-34-9;SIMAZINE
8001-35-2;TOXAFENO
2303-17-5;TRIALATO
15950-66-0;TRICLOROFENOL (2,3,4-)
1330-20-7;XILENOS (TOTALES)0
208-96-8;ACENAFTILENO
107-13-1;ACRILONITRILO
26638-19-7;DICLOROPROPANOS
25321-14-6;DINITROTOLUENO
959-98-8;ENDOSULFAN-ALFA
33213-65-9;ENDOSULFAN-BETA
608-73-1;HEXACLOROCICLOHEXANO (ISOMEROS)
7782-41-4;FLUOR
7439-93-2;LITIO (TOTAL)
205-99-2;BENZO(b)FLUORANTENO
207-08-9;BENZO(K) FLUORANTANO
7440-31-5;ESTAÑO
193-39-5;INDENO(1,2,3-CD)PIRENO
129-00-0;PIRENO
108-05-4;ACETATO DE VINILO
110-82-7;CICLOHEXANO
7782-50-5;CLORO
7647-01-0;CLORURO DE HIDROGENO
1319-77-3;CRESOLES
584-84-9;DI-ISOCIANATO DE TOLUENO
7664-93-9;NIEBLA ACIDA (H2S04)
7783-06-4;SULFURO DE HIDROGENO
