"ACENAFTILENO" ;208-96-8
"ACETATODE VINILO" ;108-05-4
"ACIDONITRILO-TRIACETICO" ;139-13-9
"ACRILONITRILO" ;107-13-1
"ACROLEINA" ;107-02-8
"ALDICARB" ;116-06-3
"ALDRIN" ;309-00-2
"ALUMINIO" ;7429-90-5
"AMONIACO" ;7664-41-7
"AMONIO(TOTAL)" ;7664-41-7
"ANTIMONIO(TOTAL)" ;7440-36-0
"ARSENICO" ;7440-38-2
"ATRAZINA" ;1912-24-9
"BARIO(TOTAL)" ;7440-39-3
"BENDIOCARB" ;22781-23-3
"BENZO(b)FLUORANTENO" ;205-99-2
"BENZO(K)FLUORANTANO" ;207-08-9
"BERILIO" ;7440-41-7
"BHC-ALFA" ;319-84-6
"BHC-BETA" ;319-85-7
"BHC-DELTA" ;319-86-8
"BIS(2-CLOROETIL) ETER" ;111-44-4
"BORO" ;7440-42-8
"BROMOXIMIL" ;1689-84-5
"CADMIO" ;7440-43-9
"CARBOFURANO" ;1563-66-2
"CIANAZINA" ;21725-46-2
"CICLOHEXANO" ;110-82-7
"CINC" ;7440-66-6
"CLORO" ;7782-50-5
"CLOROBENCENO" ;108-90-7
"CLORPIRIFOS" ;2991-88-2
"CLORURODE HIDROGENO" ;7647-01-0
"COBRE(TOTAL)" ;7440-50-8
"CRESOLES" ;1319-77-3
"CROMO(+6)" ;18540-29-9
"DIAZINON" ;333-41-5
"DIBROMOETILENO" ;106-93-4
"DICAMBA" ;1918-00-9
"DICLOFOP-METIL" ;51338-27-3
"DICLOROBENCENO(1,3-)" ;541-73-1
"DICLOROETANO(1,2-)" ;107-06-2
"DICLOROETILENO(1,2-sis)" ;540-59-0
"DICLOROFENOL(2,4-)" ;120-83-2
"DICLOROPROPANOS" ;26638-19-7
"DICLOROPROPENOS" ;26952-23-8
"DICLOROPROPILENO(1,2-)" ;563-54-2
"DIFENILHIDRAZINA (1,2)" ;122-66-7
"DI-ISOCIANATODE TOLUENO" ;584-84-9
"DIMETILFENOL(2,4-)" ;105-67-9
"DINITROTOLUENO(2,4-)" ;121-14-2
"DIURON" ;330-54-1
"ENDOSULFAN" ;108-60-1
"ENDOSULFAN-ALFA" ;959-98-8
"ENDOSULFAN-BETA" ;33213-65-9
"ENODSULFAN" ;115-29-7
"ESTAÑO" ;7440-31-5
"ESTIRENO" ;100-42-5
"ETILBENCENO" ;100-41-4
"FENOL" ;108-95-2
"FENOLES" ;108-95-2
"FLUOR" ;7782-41-4
"FLUORANTENO" ;206-44-0
"FLUORUO(TOTAL)" ;16984-48-8
"FLUORUROS" ;16984-48-8
"FLUORURO(TOTAL)" ;16984-48-8
"FORATO" ;298-02-2
"GLIFOSATO" ;1071-83-6
"HEPTACLOROEPOXIDO" ;1024-57-3
"HEXACLOROBENCENO" ;118-74-1
"HEXACLOROCICLOHEXANO(ISOMEROS)" ;608-73-1
"HIERRO(TOTAL)" ;7439-89-6
"INDENO(1,2,3-CD)PIRENO" ;193-39-5
"LITIO(TOTAL)" ;7439-93-2
"MALATION" ;121-75-5
"MANGANESO" ;7439-96-5
"MERCURIO" ;7439-97-6
"METILPARATION" ;298-00-0
"METOLACLOR" ;51218-45-2
"METRIBUZINA" ;21087-64-9
"NIEBLAACIDA (H2S04)" ;7664-93-9
"NIQUEL" ;7440-02-0
"NITRATO" ;1918-00-9
"NITRITO" ;51338-27-3
"ORGANOCLORADOS(NO PLAG.)" ;107-06-2
"PARAQUAT" ;1910-42-5
"PCB- 1016 (AROCHLOR 1016)" ;12674-11-2
"PCD(TOTAL)" ;1336-36-3
"PENTACLOROBENCENO" ;608-93-5
"PIRENO" ;129-00-0
"PLATA(TOTAL)" ;7440-22-4
"PLOMO" ;7439-92-1
"SELENIO" ;7782-49-2
"SIMAZINE" ;122-34-9
"SULFURODE HIDROGENO" ;7783-06-4
"TALIO(TOTAL)" ;7440-28-0
"TEMEFOS" ;3383-96-8
"TERBUFOS" ;13071-79-9
"TETRACLOROETILENO" ;127-18-4
"TOLUENO" ;108-88-3
"TOXAFENO" ;8001-35-2
"TRIALATO" ;2303-17-5
"TRICLOROBENCENO(1,2,4-)" ;120-82-1
"TRICLOROFENOL(2,3,4-)" ;15950-66-0
"URANIOTOTAL" ;51218-45-2
"XILENOS" ;1330-20-7
