name;CAS;m_mol;S;p_vap;H;koc;kow;D_air;D_w;BA;NA;LOD_w;LOD_s;NA;lamnda_s;lambda_u;NA;theta_ag;theta_bg;EPA_w;is_carc;SF_o;UR_inhal;Ref_oral;Ref_inhal;ads_derm;ads_gast;derm_per;derm_lag;derm_exp;derm_contr;MCL1;MCL2;NA;PEL_TWA;NA;AQLP_w;AQLP_w;HH_w;HH_fish;HH_fish_salt;NA
chloral;75876;  147.38834	;  8300000	;  35	;  2.66048e-005	;  0.80248385672	;  1.1897	;  0.0385	;  9.7e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  FALSE	;  -	;  -	;  0.1	;  0.005	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chloral-hydrate-1-1-ethanediol-2-2-2-trichloro;302170;  165.4026	;  1801817	;  0.000979	;  4.913574e-009	;  0.7272904	;  0.32957	;  0.074347	;  9.1631230055e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  FALSE	;  -	;  -	;  0.1	;  0.005	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chloramben-amiben-3-amino-2-5-dichlorobenzoic-acid;133904;  206.0274	;  6264.714826	;  1.941475378e-005	;  3.4923840408e-008	;  2.3219523213	;  2.478711122	;  0.05706570799	;  7.4560952702e-006	;  1	; ;  	;  	; ;  	;  	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.015	;  -	;  0.1	;  0.5	;  	;  	;  	;  	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chlordane-technical;12789036;  409.78164	;  0.056	;  1e-005	;  0.002020302	;  5.08	;  6.602	;  0.0118	;  4.37e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.35	;  0.0001	;  0.0005	;  0.0007	;  0.04	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chlordane-cis-alpha-chlordane;5103719;  409.78	;  0.0464	;  8.51e-006	;  0.004106	;  6.85	;  6.97	;  0.0332	;  4.66e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.35	;  0.0001	;  0.0005	;  0.0007	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chlordane-gamma;57749;  409.779	;  0.02275056258	;  4.166942821e-006	;  0.004105268162	;  5.5948696551	;  6.966119024	;  0.03322420497	;  4.6536155904e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.35	;  0.0001	;  0.0005	;  0.0007	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.002	;  -	; ;  0.5	; ;  4.3e-006	;  4e-006	;  2.1e-005	;  2.13e-005	;  2.13e-005	; 
chlorfenvinphos;470906;  359.57	;  145	;  1.7e-007	;  2.31e-008	;  3.11	;  4.15	;  -	;  -	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.0007	;  0.002	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chlorine;7782505;  70.906	;  7000	;  5168	;  2.8633463509	;  -	;  0.8494	;  0.11992611991	;  1.4798603706e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.1	;  0.0015	;  0.01	;  0.2	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chloro-1-3-butadiene-2;126998;  88.5367	;  630	;  212	;  1.33024	;  2	;  2.5253	;  0.1	;  1e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  -	;  0.007	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  90	; ;  -	;  -	;  -	;  -	;  -	; 
chloro-2-propanol-1;127004;  95.54	;  110060.43	;  2.053	;  9.64424e-005	;  0.8291212	;  0.948	;  0.082789	;  9.6541798429e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.02	;  -	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
acridine;260946;  179.2208	;  22.39764683	;  8.963187241e-006	;  3.931283399e-006	;  3.4023893253	;  3.460945397	;  0.05113611165	;  6.6550430826e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.003	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chloro-3-methylphenol-4;59507;  142.5844	;  5427.016068	;  0.009747538689	;  1.4007876522e-005	;  2.9437262781	;  2.994350232	;  0.0645803881	;  8.0130712255e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.005	;  0.03	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chloroaniline-p;106478;  127.57334	;  3900	;  0.0235	;  4.86369e-005	;  1.82	;  1.7205	;  0.0483	;  1.01e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.004	;  0.0053	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chlorobenzene;108907;  112.5587	;  502	;  12.1	;  0.1816609	;  2.33	;  2.6375	;  0.073	;  8.7e-006	;  1	; ;  0.002	;  0.005	; ;  300	;  300	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.02	;  0.06	;  0	;  0.31	;  0.041	;  0.43	;  1	;  0.069	;  0.1	;  -	; ;  350	; ;  -	;  -	;  0.776	;  1.38	;  0.92	; 
chlorobenzilate;510156;  325.19136	;  13	;  2.2e-006	;  3.78287e-006	;  2.903089987	;  3.9929	;  0.08	;  8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.27	;  7.8e-005	;  0.02	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chlorobromomethane-bromochloromethane;74975;  129.3835	;  20423.45166	;  106.4839787	;  0.036897798576	;  1.4392206342	;  1.318361992	;  0.09654438127	;  1.1236469164e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.04	;  0.05	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  1050	; ;  -	;  -	;  -	;  -	;  -	; 
chlorodifluoromethane;75456;  86.468746	;  2900	;  7830	;  1.222158	;  0.78667536	;  0.8944	;  0.1132	;  1.32e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  -	;  50	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chloroethane;75003;  64.5147	;  20000	;  1200	;  0.212007	;  1.25	;  1.5776	;  0.15	;  1.18e-005	;  1	; ;  0.005	;  0.01	; ;  56	;  56	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.4	;  10	;  0	;  0.8	;  0.008	;  0.22	;  0.52	;  0.0027	;  -	;  -	; ;  2600	; ;  -	;  -	;  -	;  -	;  -	; 
chloroethanol-2;107073;  80.5139	;  551100	;  2.285151349	;  3.2337910038e-005	;  0.2416276225	;  0.2061215084	;  0.0960237205	;  1.1135299979e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.4	;  0.0033	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  16	; ;  -	;  -	;  -	;  -	;  -	; 
chloroethoxy-ethene-2-2-chloroethylvinylether;110758;  106.55	;  5023.26	;  26.01	;  0.0302	;  1.57	;  1.88	;  0.076	;  8.55e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  1.1	;  -	;  0.002	;  0.0003	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chloroform;67663;  119.37794	;  7920	;  198	;  0.1525619	;  1.67	;  1.521	;  0.104	;  1e-005	;  1	; ;  0.0005	;  0.005	; ;  1800	;  1800	; ;  -	;  -	;  B2	;  TRUE	;  -	;  2.3e-005	;  0.01	;  0.097451379592	;  0	;  0.2	;  0.0089	;  0.47	;  1.1	;  0.0093	;  0.1	;  -	; ;  9.78	; ;  -	;  -	;  0.1	;  1.292	;  0.861	; 
acrolein;107028;  56.06416	;  200000	;  265	;  0.000182908	;  -0.28	;  -0.1	;  0.105	;  1.12e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  FALSE	;  -	;  -	;  0.02	;  2e-005	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  0.25	; ;  -	;  -	;  0.32	;  0.78	;  0.78	; 
chlorohexane-1;544105;  120.62	;  53.85	;  8.22	;  0.99768	;  2.952997	;  3.63	;  0.064	;  7.2710921936e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.04	;  1	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chloromethane;74873;  50.48782	;  7250	;  3765	;  1.438322	;  0.778	;  1.0865	;  0.126	;  6.5e-006	;  1	; ;  0.001	;  0.01	; ;  56	;  56	; ;  -	;  -	;  D	;  TRUE	;  0.013	;  1.8e-006	;  -	;  0.09	;  0	;  0.8	;  0.0042	;  0.18	;  0.43	;  0.00081	;  -	;  -	; ;  207	; ;  -	;  -	;  -	;  -	;  -	; 
chloronaphthalene-1;90131;  162.618	;  16.94412071	;  0.01206326649	;  0.0063325836173	;  3.9756766219	;  4.044147123	;  0.05761230464	;  7.3073125848e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.08	;  -	;  0.13	;  0.89	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chloronaphthalene-2;91587;  162.61858	;  6.74	;  0.017	;  0.02544084	;  3.93	;  3.8135	;  0.0618	;  6.98e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.08	;  -	;  0.13	;  0.89	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  1.7	;  -	;  -	; 
chloronitrobenzene-p-1-chloro-4-nitrobenzene;100005;  157.56	;  266.61	;  0.039168	;  0.001	;  2.034393	;  2.47	;  0.063665	;  8.0397598609e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.018	;  -	;  -	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  1	; ;  -	;  -	;  -	;  -	;  -	; 
chlorophenol-2;95578;  128.5581	;  28000	;  1.42	;  0.000739946	;  2.4563660331	;  2.1573	;  0.0501	;  9.46e-006	;  1	; ;  0.01	;  0.66	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.005	;  0.03	;  0	;  0.8	;  0.011	;  0.53	;  1.3	;  0.014	;  -	;  -	; ;  -	; ;  -	;  -	;  0.12	;  -	;  -	; 
chlorophenol-3;108430;  128.5576	;  41130.83653	;  0.05382500974	;  9.2019689382e-006	;  2.0462592584	;  2.07	;  0.07132158075	;  8.7421311493e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.005	;  0.03	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chlorophenol-4;106489;  128.5576	;  28649.52567	;  0.04061926934	;  9.9696258369e-006	;  2.09	;  2.1	;  0.07134321008	;  8.7540051834e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.005	;  0.03	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
